0 [1.0000e+00]
1000 [1.6920e+00]
2000 [2.1637e+00]
3000 [2.5695e+00]
4000 [2.9677e+00]
5000 [3.2343e+00]
6000 [3.3180e+00]
7000 [3.3245e+00]
8000 [3.3186e+00]
9000 [3.3164e+00]
10000 [3.3196e+00]
11000 [3.3125e+00]
12000 [3.3101e+00]
13000 [3.3095e+00]
14000 [3.3029e+00]
15000 [3.3029e+00]
16000 [3.3040e+00]
17000 [3.3042e+00]
18000 [3.3038e+00]
19000 [3.3020e+00]
20000 [3.3012e+00]
21000 [3.3015e+00]
22000 [3.2975e+00]
23000 [3.3025e+00]
24000 [3.2986e+00]
25000 [3.2961e+00]
26000 [3.3034e+00]
27000 [3.2999e+00]
28000 [3.2962e+00]
29000 [3.2963e+00]
30000 [3.2983e+00]
31000 [3.2988e+00]
32000 [3.2949e+00]
33000 [3.2946e+00]
34000 [3.2985e+00]
35000 [3.2959e+00]
36000 [3.2949e+00]
37000 [3.2969e+00]
38000 [3.2987e+00]
39000 [3.2970e+00]
40000 [3.2984e+00]
41000 [3.2964e+00]
42000 [3.2963e+00]
43000 [3.2975e+00]
44000 [3.2980e+00]
45000 [3.2965e+00]
46000 [3.2961e+00]
47000 [3.2962e+00]
48000 [3.2962e+00]
49000 [3.2966e+00]
50000 [3.2951e+00]
51000 [3.2951e+00]
52000 [3.2937e+00]
53000 [3.2958e+00]
54000 [3.2956e+00]
55000 [3.2951e+00]
56000 [3.2960e+00]
57000 [3.2939e+00]
58000 [3.2940e+00]
59000 [3.2956e+00]
60000 [3.2974e+00]
