1	0	0	0	0	0	0	0	0	0	0	0	0
0.99	9.99756987236266E-9	-9.84432206546919E-9	9.8502346206528E-9	-9.84031615940666E-9	9.82689864640578E-9	-9.7993436688291E-9	-9.78452295632104E-9	-9.75459320937949E-9	-9.81020206972398E-9	-9.70326731058449E-9	-9.66057535843149E-9	-9.63942402609875E-9
0.98	1.99805637324982E-8	-1.96393587937939E-8	1.95978827134247E-8	-1.95054689255546E-8	1.93870807166649E-8	-1.92221040527649E-8	-1.90636437366134E-8	-1.88575815824785E-8	-1.87977774821683E-8	-1.84090425179686E-8	-1.81269362013216E-8	-1.7868727471203E-8
0.97	2.99344293287337E-8	-2.93360704050177E-8	2.91414263745061E-8	-2.88234128879205E-8	2.84210687201833E-8	-2.79061697512383E-8	-2.73580658177107E-8	-2.67008873531398E-8	-2.62090802812107E-8	-2.52223753189558E-8	-2.43524936209436E-8	-2.34840717943352E-8
0.96	3.98446618958654E-8	-3.88859070041799E-8	3.83814738189134E-8	-3.76282830995314E-8	3.66836668579752E-8	-3.55178169859266E-8	-3.4239355540984E-8	-3.27605792960494E-8	-3.14226415914571E-8	-2.94428577532245E-8	-2.75676608419758E-8	-2.56640061932517E-8
0.95	4.96968278118471E-8	-4.82410504564883E-8	4.72217947325387E-8	-4.57633475418947E-8	4.39506160024698E-8	-4.17645344182612E-8	-3.93520720929766E-8	-3.66318712256946E-8	-3.40012823943019E-8	-3.06366258690637E-8	-2.73749874825523E-8	-2.40896350209947E-8
0.94	5.94765881507807E-8	-5.73546525988173E-8	5.55703226987645E-8	-5.30837970184087E-8	5.00246804250705E-8	-4.64062641959726E-8	-4.24321271701068E-8	-3.80561616309716E-8	-3.3728772825275E-8	-2.8680960768757E-8	-2.37982913085977E-8	-1.89912680124685E-8
0.93	6.91697220979116E-8	-6.61810685947581E-8	6.33401142598999E-8	-5.94593228144649E-8	5.47410010686898E-8	-4.9264627241554E-8	-4.33204259915314E-8	-3.69383082033668E-8	-3.06279639565838E-8	-2.37769040635081E-8	-1.7279713945237E-8	-1.11147290082681E-8
0.92	7.87621501925425E-8	-7.46760842646201E-8	7.04502546254055E-8	-6.47764362402827E-8	5.79715700695303E-8	-5.02297782599694E-8	-4.19710850578436E-8	-3.3352983323753E-8	-2.49588716387081E-8	-1.6428590874051E-8	-8.62506451037252E-9	-1.61225176497598E-9
0.91	8.82399573650776E-8	-8.27971362518249E-8	7.68267005946735E-8	-6.89404887671267E-8	5.96287050830089E-8	-4.92646270315017E-8	-3.84538021818626E-8	-2.75396859625787E-8	-1.71968730789823E-8	-7.39142493643716E-9	1.09579235558231E-9	8.1260766442551E-9
